"New ID","Period of care end","Placement Type","Reason placement ended","Legal Statuses"
18815370,09/22/2015,"P1","E8","24/06/05-05/04/06 C1; 05/04/06-22/09/15 C2"
18909097,01/05/2017,"R5","E8","22/10/16-05/01/17 J1"
18990980,09/10/2012,"Q1","E4","07/04/11-08/04/11 L1; 08/04/11-30/06/11 V2; 30/06/11-10/09/12 C1"
19004569,08/09/2013,"H5","E8","28/11/08-01/12/08 L1; 01/12/08-14/04/11 C1; 14/04/11-09/08/13 C2"
19020675,08/20/2014,"H5","E8","06/06/14-20/08/14 V2"
19020675,05/05/2015,"H5","E8","07/01/15-05/05/15 V2"
19045311,05/26/2013,"H5","E8","10/06/10-26/05/13 V2"
19066600,04/01/2014,"Q2","E4A","03/12/13-06/12/13 L1; 06/12/13-01/04/14 V2"
19078242,09/06/2012,"K2","E8","22/10/09-23/05/11 V2; 23/05/11-06/09/12 C2"
19360264,05/04/2012,"K2","E8","02/04/12-04/05/12 V2"
19485009,05/22/2015,"A6","E11","19/12/13-26/06/14 C1; 26/06/14-22/05/15 E1"
19519036,11/26/2014,"Q2","E8","07/09/04-13/09/04 L2; 13/09/04-21/10/05 C1; 21/10/05-26/11/14 C2"
19560636,12/15/2014,"U6","E4","14/12/14-15/12/14 L1"
19560636,03/04/2015,"U6","E4A","02/03/15-04/03/15 V2"
19619355,05/16/2012,"Q1","E44","31/01/11-09/02/11 L2; 09/02/11-16/05/12 V2"
19674727,09/10/2012,"Q1","E4","07/04/11-08/04/11 L1; 08/04/11-16/06/11 V2; 16/06/11-10/09/12 C1"
19721998,07/28/2014,"Q2","E44","19/04/13-28/07/14 C1"
19768318,11/23/2014,"Q2","E8","03/08/11-23/11/14 V2"
19862662,03/13/2016,"H5","E8","05/02/04-13/03/16 C2"
20091526,08/02/2013,"R5","E9","17/12/12-06/07/13 V2; 06/07/13-02/08/13 J1"
20166185,06/27/2013,"Q2","E4","07/12/12-27/06/13 V2"
20166185,10/09/2013,"Q1","E4","11/07/13-09/10/13 V2"
20166185,02/28/2014,"K2","E4","05/12/13-28/02/14 V2"
20230057,05/30/2012,"Q2","E44","12/09/08-06/09/10 C1; 06/09/10-30/05/12 C2"
20315017,06/27/2013,"Q2","E8","22/01/12-24/01/12 L1; 24/01/12-27/06/13 V2"
20661268,07/22/2015,"U6","E44","28/07/14-31/07/14 L1; 31/07/14-22/07/15 C1"
20728743,10/17/2014,"A4","E11","11/07/13-06/03/14 C1; 06/03/14-17/10/14 E1"
21100065,10/09/2015,"A6","E11","30/04/14-06/05/14 V2; 06/05/14-23/12/14 C1; 23/12/14-09/10/15 E1"
21177800,07/01/2016,"U6","E4A","10/05/16-01/07/16 L1"
21229286,09/20/2014,"Q2","E8","03/01/03-30/04/04 C1; 30/04/04-20/09/14 C2"
21242919,06/01/2015,"A4","E11","08/07/13-13/05/14 C1; 13/05/14-01/06/15 E1"
21269680,08/02/2012,"K1","E9","18/07/12-02/08/12 J1"
21269680,10/31/2013,"K1","E9","10/10/13-31/10/13 J1"
21367529,04/21/2015,"H5","E8","09/01/14-21/04/15 V2"
21413541,02/18/2014,"A6","E11","27/11/12-18/03/13 C1; 18/03/13-18/02/14 E1"
21637335,01/03/2014,"H5","E8","18/06/09-16/06/10 C1; 16/06/10-03/01/14 C2"
21640663,01/05/2014,"H5","E8","04/02/11-05/01/14 V2"
21647111,04/09/2015,"A6","E11","25/03/13-05/09/13 C1; 05/09/13-09/04/15 E1"
